run_id,trike_id,origin_edge,dest_edge,distance,price,tick
run002,trike54,E154,E163,328.03000000000003,50,278
run002,trike53,E154,E217,1199.39,70,268
run002,trike21,E41,E141,936.3799999999999,50,270
run002,trike37,E97,-E244,1292.72,70,395
run002,trike8,E23,E24,92.55999999999999,50,396
run002,trike40,E74,E53,602.0000000000001,50,375
run002,trike61,E196,E140,1147.8799999999999,70,293
run002,trike47,E154,E175,979.67,50,335
run002,trike9,E23,E242,371.93,50,392
run002,trike44,E74,E227,813.1800000000001,50,342
run002,trike54,E154,-E237,1217.57,70,282
run002,trike3,E23,E28,460.01000000000005,50,388
run002,trike12,E162,E7,1000.5399999999997,70,338
run002,trike30,E106,E27,2669.8300000000004,150,398
run002,trike8,E23,-E244,624.65,50,404
run002,trike43,E74,E123,877.2099999999999,50,406
run002,trike52,E154,E191,431.29,50,464
run002,trike23,E41,E56,991.2599999999999,50,325
run002,trike51,E154,E186,821.2199999999998,50,392
run002,trike58,E154,-E155,167.88,50,497
run002,trike55,E154,E12,1226.5300000000002,70,456
run002,trike16,E57,E175,824.07,50,261
run002,trike57,E154,E91,1246.7700000000002,70,343
run002,trike56,E154,-E213,809.4800000000001,50,386
run002,trike13,E162,-E235,945.3399999999999,50,404
run002,trike62,E196,E95,1157.4199999999998,70,312
run002,trike24,E41,E246,1572.0199999999998,100,413
run002,trike52,E154,E79,640.6199999999999,50,469
run002,trike11,E162,-E186,802.4599999999998,50,427
run002,trike41,E74,-E155,1800.03,100,517
run002,trike25,E41,E151,925.05,50,385
run002,trike20,E41,E126,1203.5699999999997,70,326
run002,trike59,E154,E73,973.7199999999999,50,395
run002,trike36,E97,E116,1080.42,70,420
run002,trike50,E154,E41,788.3,50,394
run002,trike10,E162,E24,786.3100000000001,50,495
run002,trike22,E41,E227,963.51,50,439
run002,trike60,E196,-E239,551.76,50,492
run002,trike64,E196,E146,1056.69,70,464
run002,trike19,E57,E134,494.38,50,585
run002,trike46,E154,E244,1596.0500000000002,100,347
run002,trike12,E162,-E216,1033.34,70,615
run002,trike28,E41,E212,1506.3899999999996,100,314
run002,trike5,E23,E198,1958.7500000000002,100,392
run002,trike15,E57,E153,605.7000000000003,50,467
run002,trike29,E41,E184,1177.5099999999998,70,465
run002,trike35,E97,E48,1834.5600000000002,100,351
run002,trike42,E74,E26,1686.8600000000001,100,361
run002,trike49,E154,E118,906.9999999999998,50,483
run002,trike17,E57,E176,1182.3600000000001,70,347
run002,trike18,E57,E217,1067.31,70,340
run002,trike39,E97,E57,1747.63,100,328
run002,trike7,E23,E156,2052.29,120,356
run002,trike45,E154,E101,1962.68,100,290
run002,trike0,E23,E227,1567.17,100,477
run002,trike48,E154,E238,1267.4999999999998,70,500
run002,trike58,E154,-E235,1278.9900000000002,70,501
run002,trike14,E162,E7,1000.5399999999997,70,572
run002,trike37,E97,E73,1895.9400000000003,100,399
run002,trike26,E41,E234,1139.1,70,557
run002,trike63,E196,E41,1680.88,100,462
run002,trike38,E97,E80,1623.22,100,434
run002,trike32,E106,E203,1956.1000000000001,100,344
run002,trike4,E23,E63,1836.82,100,429
run002,trike5,E23,E26,284.02,50,733
run002,trike30,E106,E53,2211.7499999999995,120,460
run002,trike27,E41,E207,1511.6899999999998,100,479
run002,trike1,E23,E127,2437.83,120,350
run002,trike8,E23,E22,2427.4400000000005,120,820
run002,trike31,E106,E241,2571.3200000000006,150,391
run002,trike33,E106,E145,2304.2400000000007,120,353
run002,trike2,E23,-E183,2538.0599999999995,150,338
run002,trike54,E154,-E216,1366.9899999999998,70,791
run002,trike6,E23,E60,2325.7599999999998,120,409
run002,trike34,E106,E148,2463.1300000000006,120,457
run002,trike62,E196,E174,702.55,50,830
run002,trike0,E23,E200,2346.1800000000003,120,913
run002,trike23,E41,E140,1189.4999999999995,70,767
run002,trike61,E196,E216,580.5899999999999,50,891
run002,trike40,E74,E242,1774.7700000000002,100,641
run002,trike43,E74,E88,1362.05,70,731
run002,trike50,E154,E91,1246.7700000000002,70,783
run002,trike19,E57,E65,315.7800000000001,50,971
run002,trike11,E162,E215,783.2799999999997,50,967
run002,trike46,E154,E56,847.8699999999998,50,866
run002,trike16,E57,E148,673.7400000000002,50,820
run002,trike57,E154,E90,1226.7100000000003,70,985
run002,trike53,E154,-E242,1442.0600000000002,70,795
run002,trike25,E41,E175,1508.6,100,775
