run_id,trike_id,origin_edge,dest_edge,distance,price,tick
run002,trike40,E74,E44,595.3599999999999,16,300
run002,trike27,E41,E115,608.2600000000001,16,285
run002,trike42,E74,-E232,1070.96,21,343
run002,trike23,E41,E232,522.1800000000002,16,348
run002,trike13,E162,E227,104.09,16,349
run002,trike50,E154,E150,449.94000000000005,16,344
run002,trike32,E106,-E212,2159.850000000001,31,260
run002,trike14,E162,E150,354.7,16,385
run002,trike61,E196,E154,1987.35,26,389
run002,trike57,E154,E228,600.51,16,352
run002,trike56,E154,E24,1119.96,21,270
run002,trike52,E154,E177,1336.6100000000004,21,324
run002,trike14,E162,E209,645.38,16,400
run002,trike48,E154,E21,1176.1,21,360
run002,trike11,E162,E196,178.54,16,425
run002,trike39,E97,E103,560.2,16,381
run002,trike51,E154,E116,168.38,16,459
run002,trike49,E154,E62,627.93,16,421
run002,trike54,E154,E109,801.7099999999999,16,295
run002,trike51,E154,E166,466.30000000000007,16,463
run002,trike53,E154,E54,638.1100000000001,16,454
run002,trike45,E154,E12,1226.5300000000002,21,438
run002,trike26,E41,E191,957.0600000000001,16,320
run002,trike28,E41,E124,891.16,16,454
run002,trike12,E162,E175,646.02,16,444
run002,trike29,E41,E161,1096.24,21,304
run002,trike63,E196,E168,988.2199999999999,16,356
run002,trike13,E162,E91,913.1199999999999,16,359
run002,trike46,E154,-E213,809.4800000000001,16,390
run002,trike11,E162,E60,902.7099999999999,16,435
run002,trike60,E196,E138,1108.51,21,275
run002,trike3,E23,E27,377.3,16,501
run002,trike36,E97,E202,1557.7300000000002,26,343
run002,trike55,E154,E183,792.5799999999999,16,427
run002,trike25,E41,E199,1789.5499999999995,26,537
run002,trike59,E154,E135,726.18,16,520
run002,trike44,E74,E104,1283.4399999999998,21,442
run002,trike47,E154,E58,709.47,16,424
run002,trike16,E57,E165,916.9400000000002,16,392
run002,trike21,E41,E176,1710.01,26,295
run002,trike62,E196,-E151,997.01,16,410
run002,trike23,E41,E189,1760.9199999999998,26,358
run002,trike24,E41,E246,1572.0199999999998,26,496
run002,trike6,E23,-E232,1750.7799999999997,26,389
run002,trike35,E97,E52,1609.6799999999998,26,335
run002,trike40,E74,E170,925.9499999999999,16,461
run002,trike41,E74,-E175,1439.8399999999995,21,433
run002,trike5,E23,E232,1726.6099999999997,26,398
run002,trike9,E23,E88,2128.0899999999997,31,373
run002,trike17,E57,-E247,1736.17,26,267
run002,trike58,E154,-E247,1372.99,21,451
run002,trike2,E23,E154,1472.14,21,484
run002,trike22,E41,E166,992.07,16,481
run002,trike64,E196,-E241,835.89,16,547
run002,trike43,E74,E229,1490.1100000000001,21,462
run002,trike10,E162,-E242,1108.41,21,484
run002,trike4,E23,E192,1661.1200000000001,26,466
run002,trike20,E41,E197,1213.63,21,495
run002,trike0,E23,E121,2427.8799999999997,31,397
run002,trike7,E23,E186,2385.65,31,347
run002,trike56,E154,E207,982.7599999999999,16,711
run002,trike34,E106,E240,2467.5200000000004,31,356
run002,trike37,E97,-E184,1880.3700000000001,26,406
run002,trike33,E106,E152,2333.6700000000005,31,354
run002,trike1,E23,E168,2496.97,31,375
run002,trike8,E23,E187,2299.47,31,407
run002,trike42,E74,E109,794.7699999999999,16,761
run002,trike58,E154,E156,569.97,16,847
run002,trike28,E41,E95,1184.4499999999998,21,713
run002,trike11,E162,E190,2104.0700000000006,31,877
run002,trike12,E162,E193,245.17,16,880
run002,trike44,E74,E15,973.61,16,913
run002,trike26,E41,E165,910.32,16,771
run002,trike15,E57,E35,1301.1299999999999,21,395
run002,trike30,E106,E136,2645.4200000000005,36,447
run002,trike29,E41,E140,1189.4999999999995,21,773
run002,trike19,E57,E90,1068.81,21,394
run002,trike31,E106,E53,2211.7499999999995,31,544
run002,trike57,E154,E239,1027.2700000000002,21,794
run002,trike38,E97,E58,1616.46,26,345
run002,trike53,E154,E21,1176.1,21,873
run002,trike50,E154,E230,910.01,16,783
run002,trike27,E41,E57,968.8000000000001,16,533
run002,trike61,E196,E96,1054.4299999999998,21,779
run002,trike13,E162,E195,383.85,16,968
run002,trike62,E196,E208,786.1,16,984
run002,trike39,E97,-E174,1382.08,21,785
run002,trike16,E57,E175,824.07,16,910
run002,trike18,E57,E101,2338.37,31,351
run002,trike64,E196,E240,690.2,16,1007
